Gender,Age,Occupation,Income,visit_URL,publisher,Personalized_Info,Day_of_Week,Browse_Time,phone_brand,Call_Time
male,20_30,technicians,moderate,CheapFlights,Mudah,Cheap_Secondhand,Wednesday,Evening,HTC,evening
male,30_40,student,low,CheapFlights,Mudah,Cheap_Secondhand,Monday,Morning,Lenovo,noon
female,below_20,student,low,eBanking,MalaysiaKini,CurrentPoliticalIssues,Monday,Late_Night,Samsung,afternoon
female,30_40,machinery,low,SellBuy_Cars,MalaysiaKini,CurrentPoliticalIssues,Monday,Late_Night,Acer,evening
female,50_60,machinery,low,Government_Policy,MalaysiaKini,CurrentPoliticalIssues,Monday,Late_Night,Nokia,noon
female,50_60,managers,high,eBanking,MalaysiaKini,CurrentPoliticalIssues,Monday,Late_Night,XiaoMi,afternoon
male,20_30,student,high,eBanking,MalaysiaKini,CurrentPoliticalIssues,Monday,Late_Night,Samsung,evening
male,50_60,technicians,low,eBanking,MalaysiaKini,CurrentPoliticalIssues,Monday,Late_Night,Samsung,morning
female,50_60,sales,moderate,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Monday,Late_Night,Lenovo,afternoon
female,20_30,student,moderate,Vacation_Deals,MalaysiaKini,CurrentPoliticalIssues,Monday,Late_Night,Samsung,evening
female,20_30,admin,low,Vacation_Deals,MalaysiaKini,CurrentPoliticalIssues,Monday,Late_Night,Apple,noon
female,50_60,technicians,moderate,CheapFlights,Hmetro,Breaking_News_Oil,Tuesday,Night,Apple,morning
male,below_20,technicians,low,Government_Policy,Hmetro,Breaking_News_Oil,Tuesday,Night,Lenovo,afternoon
female,50_60,technicians,low,eBanking,Maybank,Stock_Gold_Insurance,Monday,Morning,Nokia,night
female,30_40,housewife,moderate,eBanking,Maybank,Stock_Gold_Insurance,Sunday,Afternoon,HTC,evening
male,below_20,machinery,low,Properties,AirAsia,AirFarePromotion,Saturday,Noon,Sony,evening
male,30_40,sales,high,Government_Policy,AirAsia,AirFarePromotion,Friday,Afternoon,HTC,night
female,30_40,managers,moderate,CheapFlights,Paultan,LatestCarModels,Sunday,Afternoon,Acer,evening
male,below_20,managers,high,Vacation_Deals,Paultan,LatestCarModels,Sunday,Afternoon,Samsung,afternoon
female,below_20,housewife,high,CheapFlights,Paultan,LatestCarModels,Sunday,Afternoon,XiaoMi,afternoon
female,20_30,machinery,moderate,SellBuy_Cars,Paultan,LatestCarModels,Sunday,Afternoon,XiaoMi,evening
female,20_30,technicians,high,Vacation_Deals,Paultan,LatestCarModels,Sunday,Afternoon,HTC,evening
male,30_40,technicians,low,eBanking,Paultan,LatestCarModels,Sunday,Afternoon,HTC,noon
female,30_40,admin,low,Properties,Paultan,LatestCarModels,Sunday,Afternoon,Apple,noon
female,30_40,student,high,SellBuy_Cars,Paultan,LatestCarModels,Sunday,Afternoon,Nokia,night
male,30_40,admin,low,CheapFlights,Paultan,LatestCarModels,Friday,Morning,Nokia,evening
male,50_60,student,low,eBanking,Hmetro,Breaking_News_Oil,Thursday,Morning,Lenovo,noon
female,50_60,student,high,Vacation_Deals,Hmetro,Breaking_News_Oil,Thursday,Morning,Nokia,afternoon
female,below_20,housewife,moderate,SellBuy_Cars,Hmetro,Breaking_News_Oil,Thursday,Morning,Lenovo,afternoon
male,below_20,machinery,low,Properties,Hmetro,Breaking_News_Oil,Thursday,Morning,Nokia,night
female,50_60,managers,moderate,SellBuy_Cars,Hmetro,Breaking_News_Oil,Saturday,Evening,HTC,night
female,below_20,technicians,low,CheapFlights,Hmetro,Breaking_News_Oil,Saturday,Evening,XiaoMi,afternoon
female,50_60,sales,high,Properties,Hmetro,Breaking_News_Oil,Thursday,Noon,HTC,evening
male,30_40,technicians,low,SellBuy_Cars,Hmetro,Breaking_News_Oil,Wednesday,Night,Lenovo,afternoon
female,20_30,machinery,high,Properties,AirAsia,AirFarePromotion,Saturday,Morning,Apple,morning
female,50_60,admin,moderate,Government_Policy,AirAsia,AirFarePromotion,Thursday,Morning,Acer,evening
female,50_60,sales,low,eBanking,AirAsia,AirFarePromotion,Thursday,Morning,Samsung,evening
female,20_30,admin,high,CheapFlights,AirAsia,AirFarePromotion,Thursday,Morning,Apple,evening
male,50_60,admin,moderate,Government_Policy,AirAsia,AirFarePromotion,Thursday,Morning,Samsung,afternoon
male,20_30,admin,high,eBanking,AirAsia,AirFarePromotion,Thursday,Morning,XiaoMi,night
male,below_20,managers,high,eBanking,AirAsia,AirFarePromotion,Thursday,Morning,Sony,afternoon
female,50_60,technicians,moderate,Properties,AirAsia,AirFarePromotion,Thursday,Morning,Sony,morning
female,50_60,managers,high,SellBuy_Cars,AirAsia,AirFarePromotion,Saturday,Late_Night,XiaoMi,morning
male,below_20,admin,low,CheapFlights,AirAsia,AirFarePromotion,Saturday,Afternoon,Nokia,afternoon
female,20_30,technicians,low,Government_Policy,jobstreet,Salary,Monday,Afternoon,Sony,morning
female,30_40,admin,moderate,CheapFlights,jobstreet,Salary,Monday,Afternoon,Samsung,afternoon
male,50_60,housewife,high,CheapFlights,jobstreet,Salary,Wednesday,Morning,Apple,evening
male,50_60,sales,high,eBanking,jobstreet,Salary,Wednesday,Morning,HTC,night
male,50_60,sales,moderate,SellBuy_Cars,jobstreet,Salary,Saturday,Noon,HTC,noon
male,below_20,housewife,low,Vacation_Deals,jobstreet,Salary,Saturday,Morning,Lenovo,noon
male,30_40,student,high,SellBuy_Cars,jobstreet,Salary,Saturday,Morning,Acer,afternoon
male,below_20,student,low,CheapFlights,jobstreet,Salary,Saturday,Morning,Apple,noon
female,below_20,managers,moderate,Vacation_Deals,jobstreet,Salary,Friday,Evening,Sony,morning
male,20_30,sales,low,CheapFlights,jobstreet,Salary,Friday,Evening,Lenovo,morning
female,50_60,admin,moderate,SellBuy_Cars,jobstreet,Salary,Sunday,Afternoon,Samsung,morning
male,30_40,housewife,moderate,SellBuy_Cars,jobstreet,Salary,Tuesday,Afternoon,Nokia,noon
female,30_40,sales,high,CheapFlights,jobstreet,Salary,Thursday,Evening,HTC,afternoon
female,30_40,housewife,high,SellBuy_Cars,jobstreet,Salary,Monday,Afternoon,Samsung,afternoon
male,30_40,machinery,high,Properties,jobstreet,Salary,Friday,Night,Samsung,night
male,50_60,technicians,low,Properties,jobstreet,Salary,Friday,Night,Nokia,night
female,50_60,admin,moderate,eBanking,jobstreet,Salary,Thursday,Morning,Sony,afternoon
male,20_30,housewife,high,Properties,jobstreet,Salary,Tuesday,Night,HTC,morning
male,20_30,housewife,moderate,Properties,jobstreet,Salary,Friday,Noon,Apple,afternoon
male,20_30,housewife,moderate,eBanking,jobstreet,Salary,Saturday,Morning,Sony,evening
female,below_20,admin,high,Government_Policy,jobstreet,Salary,Wednesday,Morning,Apple,evening
female,50_60,technicians,low,Vacation_Deals,jobstreet,Salary,Wednesday,Morning,Nokia,noon
female,below_20,admin,low,Vacation_Deals,jobstreet,Salary,Friday,Evening,Lenovo,afternoon
female,below_20,admin,high,Properties,jobstreet,Salary,Wednesday,Night,HTC,evening
male,50_60,managers,moderate,Properties,jobstreet,Salary,Saturday,Evening,Apple,evening
male,50_60,technicians,moderate,CheapFlights,jobstreet,Salary,Saturday,Evening,XiaoMi,noon
female,below_20,machinery,high,eBanking,AirAsia,AirFarePromotion,Monday,Morning,Sony,morning
male,below_20,student,moderate,Vacation_Deals,jobstreet,Salary,Friday,Afternoon,Acer,morning
female,30_40,student,high,SellBuy_Cars,jobstreet,Salary,Friday,Morning,Nokia,afternoon
female,30_40,housewife,low,Properties,jobstreet,Salary,Wednesday,Night,Nokia,noon
male,30_40,managers,moderate,CheapFlights,jobstreet,Salary,Saturday,Afternoon,Samsung,night
male,50_60,sales,moderate,Vacation_Deals,jobstreet,Salary,Thursday,Afternoon,Lenovo,afternoon
female,20_30,technicians,high,Government_Policy,jobstreet,Salary,Saturday,Morning,Nokia,noon
female,30_40,student,high,eBanking,jobstreet,Salary,Saturday,Morning,XiaoMi,night
female,50_60,managers,low,Properties,jobstreet,Salary,Monday,Morning,Samsung,noon
female,30_40,machinery,low,SellBuy_Cars,jobstreet,Salary,Monday,Morning,Lenovo,morning
female,30_40,technicians,low,Vacation_Deals,jobstreet,Salary,Tuesday,Evening,Sony,evening
female,30_40,technicians,high,Vacation_Deals,jobstreet,Salary,Sunday,Night,Apple,evening
male,30_40,admin,low,CheapFlights,jobstreet,Salary,Sunday,Night,Samsung,morning
female,below_20,machinery,low,eBanking,jobstreet,Salary,Sunday,Night,XiaoMi,night
male,50_60,sales,moderate,Government_Policy,jobstreet,Salary,Wednesday,Noon,Lenovo,noon
male,20_30,sales,high,CheapFlights,jobstreet,Salary,Wednesday,Noon,XiaoMi,night
female,30_40,machinery,low,Vacation_Deals,jobstreet,Salary,Monday,Noon,Nokia,night
male,20_30,admin,low,Government_Policy,jobstreet,Salary,Monday,Morning,Acer,evening
male,30_40,housewife,moderate,Vacation_Deals,Mudah,Cheap_Secondhand,Sunday,Evening,Acer,afternoon
male,20_30,sales,low,Government_Policy,Mudah,Cheap_Secondhand,Sunday,Evening,Samsung,afternoon
male,below_20,technicians,moderate,eBanking,Mudah,Cheap_Secondhand,Sunday,Evening,XiaoMi,evening
male,50_60,machinery,high,SellBuy_Cars,Mudah,Cheap_Secondhand,Sunday,Afternoon,XiaoMi,afternoon
male,30_40,managers,low,CheapFlights,Mudah,Cheap_Secondhand,Sunday,Afternoon,Acer,morning
male,below_20,student,moderate,SellBuy_Cars,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Morning,Apple,night
male,30_40,student,low,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Morning,Acer,noon
male,20_30,technicians,high,SellBuy_Cars,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Morning,Sony,evening
female,50_60,housewife,high,Government_Policy,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Morning,Nokia,evening
female,20_30,sales,high,Properties,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Morning,HTC,night
male,below_20,housewife,high,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Morning,Samsung,evening
female,below_20,managers,high,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Morning,Acer,morning
female,30_40,machinery,moderate,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Morning,Lenovo,night
female,20_30,housewife,moderate,Vacation_Deals,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Morning,Apple,noon
male,20_30,machinery,moderate,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Morning,HTC,morning
male,below_20,housewife,moderate,SellBuy_Cars,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Morning,XiaoMi,evening
male,below_20,machinery,moderate,eBanking,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Morning,HTC,night
male,20_30,student,moderate,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Morning,Apple,night
female,30_40,housewife,high,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Morning,Apple,morning
male,below_20,housewife,high,Vacation_Deals,MalaysiaKini,CurrentPoliticalIssues,Tuesday,Morning,Acer,night
female,below_20,sales,moderate,Properties,MalaysiaKini,CurrentPoliticalIssues,Monday,Morning,XiaoMi,noon
male,50_60,admin,low,SellBuy_Cars,MalaysiaKini,CurrentPoliticalIssues,Monday,Morning,Nokia,night
male,below_20,admin,low,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Sunday,Morning,Lenovo,night
male,30_40,managers,high,Vacation_Deals,MalaysiaKini,CurrentPoliticalIssues,Sunday,Morning,Acer,morning
male,50_60,sales,high,eBanking,MalaysiaKini,CurrentPoliticalIssues,Sunday,Morning,HTC,evening
male,below_20,managers,low,Government_Policy,MalaysiaKini,CurrentPoliticalIssues,Sunday,Morning,Samsung,evening
male,20_30,student,high,Government_Policy,MalaysiaKini,CurrentPoliticalIssues,Sunday,Morning,HTC,evening
female,below_20,admin,low,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Sunday,Morning,Samsung,night
male,30_40,technicians,moderate,eBanking,MalaysiaKini,CurrentPoliticalIssues,Sunday,Morning,Lenovo,noon
female,20_30,managers,low,Vacation_Deals,MalaysiaKini,CurrentPoliticalIssues,Sunday,Morning,Acer,night
male,50_60,admin,moderate,SellBuy_Cars,MalaysiaKini,CurrentPoliticalIssues,Saturday,Morning,Apple,morning
female,20_30,student,high,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Saturday,Morning,Acer,evening
male,30_40,student,moderate,eBanking,MalaysiaKini,CurrentPoliticalIssues,Saturday,Morning,HTC,noon
male,below_20,admin,low,Properties,MalaysiaKini,CurrentPoliticalIssues,Saturday,Morning,Lenovo,morning
female,30_40,admin,low,Vacation_Deals,MalaysiaKini,CurrentPoliticalIssues,Thursday,Noon,Samsung,evening
female,50_60,student,moderate,SellBuy_Cars,MalaysiaKini,CurrentPoliticalIssues,Thursday,Noon,Acer,afternoon
female,20_30,student,high,Properties,MalaysiaKini,CurrentPoliticalIssues,Thursday,Noon,Apple,morning
female,50_60,housewife,high,Properties,MalaysiaKini,CurrentPoliticalIssues,Thursday,Noon,HTC,night
female,20_30,managers,high,Properties,Paultan,LatestCarModels,Thursday,Night,XiaoMi,evening
male,20_30,machinery,low,Properties,MalaysiaKini,CurrentPoliticalIssues,Thursday,Night,HTC,noon
male,30_40,managers,high,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Sunday,Night,HTC,morning
female,20_30,student,high,SellBuy_Cars,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Noon,HTC,morning
male,below_20,managers,high,Vacation_Deals,AirAsia,AirFarePromotion,Sunday,Morning,Lenovo,morning
female,20_30,student,high,Properties,AirAsia,AirFarePromotion,Sunday,Morning,Apple,morning
female,below_20,machinery,moderate,Properties,Mudah,Cheap_Secondhand,Sunday,Morning,HTC,afternoon
female,30_40,managers,moderate,eBanking,AirAsia,AirFarePromotion,Saturday,Late_Night,Lenovo,morning
male,below_20,technicians,moderate,Vacation_Deals,AirAsia,AirFarePromotion,Saturday,Late_Night,Sony,night
male,20_30,housewife,low,Properties,AirAsia,AirFarePromotion,Saturday,Late_Night,Sony,night
female,below_20,sales,moderate,CheapFlights,AirAsia,AirFarePromotion,Saturday,Late_Night,Sony,night
male,below_20,sales,low,eBanking,AirAsia,AirFarePromotion,Saturday,Late_Night,Samsung,evening
male,20_30,machinery,moderate,eBanking,AirAsia,AirFarePromotion,Saturday,Late_Night,Sony,afternoon
male,below_20,managers,moderate,eBanking,AirAsia,AirFarePromotion,Sunday,Night,Apple,noon
female,20_30,technicians,high,SellBuy_Cars,Mudah,Cheap_Secondhand,Sunday,Morning,Samsung,night
male,30_40,admin,high,SellBuy_Cars,Mudah,Cheap_Secondhand,Sunday,Morning,Apple,evening
female,30_40,technicians,low,Properties,Mudah,Cheap_Secondhand,Sunday,Morning,Nokia,noon
male,below_20,admin,high,SellBuy_Cars,Maybank,Stock_Gold_Insurance,Friday,Morning,Samsung,evening
female,30_40,sales,high,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Saturday,Evening,HTC,afternoon
female,below_20,managers,moderate,eBanking,MalaysiaKini,CurrentPoliticalIssues,Friday,Morning,Acer,evening
male,20_30,managers,low,Properties,MalaysiaKini,CurrentPoliticalIssues,Tuesday,Late_Night,Acer,night
female,50_60,sales,low,SellBuy_Cars,MalaysiaKini,CurrentPoliticalIssues,Tuesday,Late_Night,XiaoMi,noon
male,30_40,sales,moderate,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Tuesday,Late_Night,XiaoMi,evening
male,30_40,sales,moderate,eBanking,MalaysiaKini,CurrentPoliticalIssues,Tuesday,Late_Night,Nokia,night
male,30_40,machinery,high,eBanking,MalaysiaKini,CurrentPoliticalIssues,Tuesday,Late_Night,Sony,morning
male,below_20,admin,high,Properties,MalaysiaKini,CurrentPoliticalIssues,Monday,Morning,Sony,afternoon
male,20_30,technicians,high,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Late_Night,Acer,noon
female,20_30,technicians,high,Vacation_Deals,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Late_Night,Samsung,morning
female,20_30,admin,low,Government_Policy,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Late_Night,Samsung,afternoon
male,below_20,student,high,Vacation_Deals,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Late_Night,XiaoMi,afternoon
female,30_40,sales,moderate,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Wednesday,Late_Night,Nokia,evening
female,30_40,student,low,Vacation_Deals,MalaysiaKini,CurrentPoliticalIssues,Saturday,Late_Night,Lenovo,night
male,20_30,machinery,high,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Saturday,Late_Night,Samsung,night
male,30_40,student,moderate,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Saturday,Late_Night,Apple,morning
male,30_40,technicians,low,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Saturday,Late_Night,Acer,morning
female,50_60,student,moderate,CheapFlights,MalaysiaKini,CurrentPoliticalIssues,Saturday,Late_Night,Lenovo,night
male,below_20,technicians,high,Vacation_Deals,MalaysiaKini,CurrentPoliticalIssues,Friday,Late_Night,Apple,afternoon
male,50_60,sales,moderate,eBanking,MalaysiaKini,CurrentPoliticalIssues,Thursday,Afternoon,Acer,noon
male,below_20,housewife,low,Government_Policy,MalaysiaKini,CurrentPoliticalIssues,Thursday,Afternoon,Lenovo,evening
female,below_20,sales,moderate,eBanking,MalaysiaKini,CurrentPoliticalIssues,Saturday,Morning,Lenovo,night
female,50_60,housewife,low,Government_Policy,MalaysiaKini,CurrentPoliticalIssues,Saturday,Morning,Lenovo,noon
